"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"서울특별시 중랑구 (1126000000)","378,971","378,971","17,641","23,252","47,245","58,185","51,708","63,347","64,138","35,533","15,813","2,049","60"
"서울특별시 중랑구 면목제2동(1126052000)","23,207","23,207","834","1,291","2,692","3,375","3,105","4,209","4,268","2,252","1,043","135","3"
"서울특별시 중랑구 면목제4동(1126054000)","17,873","17,873","769","1,068","2,064","2,458","2,552","3,137","2,984","1,931","826","81","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,197","14,197","1,121","891","1,420","2,233","2,320","2,368","2,191","1,123","479","51","0"
"서울특별시 중랑구 면목본동(1126056500)","32,296","32,296","1,092","1,485","4,510","5,412","4,116","5,766","5,414","3,020","1,334","145","2"
"서울특별시 중랑구 면목제7동(1126057000)","20,944","20,944","964","1,014","2,527","3,252","2,762","3,501","3,703","2,205","881","133","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,846","23,846","840","1,143","3,089","3,470","3,039","4,191","4,402","2,453","1,083","133","3"
"서울특별시 중랑구 상봉제1동(1126058000)","22,792","22,792","1,348","1,664","2,696","3,454","3,128","3,810","3,891","1,861","842","97","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,833","20,833","658","678","4,281","4,949","2,469","2,868","2,723","1,462","662","78","5"
"서울특별시 중랑구 중화제1동(1126060000)","18,287","18,287","805","1,120","2,124","2,948","2,485","2,866","3,253","1,845","759","79","3"
"서울특별시 중랑구 중화제2동(1126061000)","23,461","23,461","767","948","3,011","3,597","2,909","4,146","4,450","2,333","1,170","129","1"
"서울특별시 중랑구 묵제1동(1126062000)","33,327","33,327","1,560","2,847","4,436","4,555","4,975","5,516","4,977","2,981","1,316","159","5"
"서울특별시 중랑구 묵제2동(1126063000)","17,891","17,891","724","1,002","2,285","2,582","2,492","3,060","3,034","1,824","797","88","3"
"서울특별시 중랑구 망우본동(1126065500)","38,236","38,236","2,701","2,225","4,320","6,636","5,477","5,729","6,246","3,224","1,444","223","11"
"서울특별시 중랑구 망우제3동(1126066000)","15,370","15,370","494","815","1,803","1,944","1,882","2,913","3,039","1,630","720","128","2"
"서울특별시 중랑구 신내1동(1126068000)","37,091","37,091","2,029","3,706","4,000","4,597","5,320","6,073","6,193","3,378","1,542","243","10"
"서울특별시 중랑구 신내2동(1126069000)","19,320","19,320","935","1,355","1,987","2,723","2,677","3,194","3,370","2,011","915","147","6"
"서울특별시 성북구 (1129000000)","420,710","420,710","22,300","33,824","63,104","55,700","60,684","70,799","58,532","34,989","18,226","2,485","67"
"서울특별시 성북구 성북동(1129052500)","15,782","15,782","587","982","2,440","2,553","2,111","2,716","2,156","1,285","809","137","6"
"서울특별시 성북구 삼선동(1129055500)","21,838","21,838","722","1,527","4,101","3,027","2,826","3,800","2,899","1,743","1,062","126","5"
"서울특별시 성북구 동선동(1129057500)","14,863","14,863","370","775","4,676","2,436","1,695","1,883","1,444","931","568","79","6"
"서울특별시 성북구 돈암제1동(1129058000)","14,014","14,014","624","990","1,788","1,846","1,743","2,520","2,319","1,379","708","95","2"
"서울특별시 성북구 돈암제2동(1129059000)","23,176","23,176","1,539","2,515","2,625","2,720","3,724","4,342","3,085","1,628","840","155","3"
"서울특별시 성북구 안암동(1129060000)","15,214","15,214","362","736","5,605","2,133","1,382","1,907","1,527","928","547","86","1"
"서울특별시 성북구 보문동(1129061000)","16,041","16,041","880","962","2,545","2,763","2,272","2,693","2,100","1,161","586","77","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,537","17,537","1,116","1,575","2,169","2,237","2,741","2,951","2,340","1,518","784","106","0"
"서울특별시 성북구 정릉제2동(1129063000)","22,096","22,096","1,123","1,507","2,872","2,949","2,978","3,808","3,511","2,115","1,081","148","4"
"서울특별시 성북구 정릉제3동(1129064000)","14,031","14,031","384","795","3,346","1,685","1,416","2,084","2,062","1,373","774","110","2"
"서울특별시 성북구 정릉제4동(1129065000)","23,832","23,832","1,086","1,841","3,003","2,875","3,352","4,272","3,718","2,336","1,193","153","3"
"서울특별시 성북구 길음제1동(1129066000)","35,545","35,545","2,797","5,087","3,564","3,756","7,085","6,210","3,620","2,136","1,144","142","4"
"서울특별시 성북구 길음제2동(1129068500)","21,416","21,416","1,931","2,071","2,382","2,743","3,825","3,701","2,593","1,466","613","89","2"
"서울특별시 성북구 종암동(1129070500)","36,970","36,970","1,903","3,239","5,210","4,503","5,451","6,298","5,255","3,059","1,750","293","9"
"서울특별시 성북구 월곡제1동(1129071500)","25,164","25,164","1,518","2,315","2,658","3,173","3,949","4,290","3,738","2,260","1,132","126","5"
"서울특별시 성북구 월곡제2동(1129072500)","18,616","18,616","694","1,285","3,382","2,561","2,328","2,927","2,720","1,703","884","130","2"
"서울특별시 성북구 장위제1동(1129076000)","22,983","22,983","1,303","1,724","2,838","3,078","3,322","4,103","3,669","1,937","907","102","0"
"서울특별시 성북구 장위제2동(1129077000)","12,838","12,838","422","712","1,659","1,801","1,569","2,156","2,201","1,521","698","97","2"
"서울특별시 성북구 장위제3동(1129078000)","15,364","15,364","1,395","1,271","1,850","2,212","2,582","2,544","1,971","1,032","446","60","1"
"서울특별시 성북구 석관동(1129081000)","33,390","33,390","1,544","1,915","4,391","4,649","4,333","5,594","5,604","3,478","1,700","174","8"
"서울특별시 강북구 (1130500000)","283,293","283,293","10,418","18,370","36,022","34,578","37,720","49,759","48,098","30,834","15,647","1,803","44"
"서울특별시 강북구 삼양동(1130553400)","24,092","24,092","1,052","1,651","2,873","2,882","3,340","4,440","4,069","2,481","1,185","117","2"
"서울특별시 강북구 미아동(1130553500)","20,513","20,513","490","1,054","3,326","2,709","2,492","3,446","3,595","2,158","1,120","121","2"
"서울특별시 강북구 송중동(1130554500)","27,878","27,878","1,145","1,755","3,559","3,603","3,828","4,834","4,718","2,950","1,336","147","3"
"서울특별시 강북구 송천동(1130555500)","23,158","23,158","633","1,212","2,618","2,731","2,840","4,238","4,584","2,806","1,347","143","6"
"서울특별시 강북구 삼각산동(1130557500)","30,224","30,224","2,017","3,714","3,219","3,107","5,260","5,713","3,726","2,251","1,076","140","1"
